"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo;Visibilidad
noxy-ny-2841-ft0eh;"NOXY NY-2841";"Todos los productos > Lentes de Sol, Todos los productos > Promociones, Todos los productos > 2X1!";Color;Negro;;;;;55,000.00;;0.30;25.00;8.00;8.00;1;1202;;NO;NO;"<p data-start=""116"" data-end=""566""><strong data-start=""126"" data-end=""142"">EL lente de Sol NOXY </strong>ofrece protecci&oacute;n y comodidad para el uso diario. Equipado con cristales <strong data-start=""216"" data-end=""231"">polarizados</strong> y <strong data-start=""234"" data-end=""250"">filtro UV400</strong>, brinda una visi&oacute;n m&aacute;s descansada al reducir reflejos y proteger los ojos del sol. Se destaca su dise&ntilde;o y su <strong data-start=""441"" data-end=""478"">muy buena relaci&oacute;n precio-calidad</strong> dentro de su categor&iacute;a.<br data-start=""502"" data-end=""505"" />Una opci&oacute;n confiable, liviana y pr&aacute;ctica para todos los d&iacute;as.</p>
<p data-start=""116"" data-end=""566"">Pod&eacute;s aprovechar la <strong data-start=""418"" data-end=""435"">promoci&oacute;n 2&times;1</strong> disponible!</p>
<p data-start=""568"" data-end=""580""><strong data-start=""568"" data-end=""580"">TAMA&Ntilde;O M (MEDIO)</strong></p>
<p data-start=""63"" data-end=""447"">&nbsp;</p>
<p data-start=""582"" data-end=""637""><strong data-start=""582"" data-end=""607"">Accesorios incluidos:</strong> Funda de protecci&oacute;n a rayas</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"2X1, LENTES DE SOL, NOXY, PROMO, URBANO";;;NOXY;SI;;Femenino;Adulto;;Oculto
noxy-ny-2821-jqm8s;"NOXY NY-2821";"Todos los productos > Lentes de Sol, Todos los productos > Promociones, Todos los productos > 2X1!";Color;Negro;;;;;55,000.00;;0.30;25.00;8.00;8.00;1;1207;;NO;NO;"<p data-start=""116"" data-end=""566""><strong data-start=""126"" data-end=""142"">EL lente de Sol NOXY </strong>ofrece protecci&oacute;n y comodidad para el uso diario. Equipado con cristales <strong data-start=""216"" data-end=""231"">polarizados</strong> y <strong data-start=""234"" data-end=""250"">filtro UV400</strong>, brinda una visi&oacute;n m&aacute;s descansada al reducir reflejos y proteger los ojos del sol. Se destaca su dise&ntilde;o y su <strong data-start=""441"" data-end=""478"">muy buena relaci&oacute;n precio-calidad</strong> dentro de su categor&iacute;a.<br data-start=""502"" data-end=""505"" />Una opci&oacute;n confiable, liviana y pr&aacute;ctica para todos los d&iacute;as.</p>
<p data-start=""116"" data-end=""566"">Pod&eacute;s aprovechar la <strong data-start=""418"" data-end=""435"">promoci&oacute;n 2&times;1</strong> disponible!</p>
<p>&nbsp;</p>
<p data-start=""568"" data-end=""580""><strong data-start=""568"" data-end=""580"">TAMA&Ntilde;O M (MEDIO)</strong></p>
<p data-start=""63"" data-end=""447"">&nbsp;</p>
<p data-start=""582"" data-end=""637""><strong data-start=""582"" data-end=""607"">Accesorios incluidos:</strong> Funda de protecci&oacute;n a rayas</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"2X1, LENTES DE SOL, NOXY, PROMO, URBANO";;;NOXY;SI;;Femenino;Adulto;;Oculto
noxy-ny-2822-88eos;"NOXY NY-2822";"Todos los productos > Lentes de Sol, Todos los productos > Promociones, Todos los productos > 2X1!";Color;Negro;;;;;55,000.00;;0.30;25.00;8.00;8.00;1;1205;;NO;NO;"<p data-start=""116"" data-end=""566""><strong data-start=""126"" data-end=""142"">EL lente de Sol NOXY </strong>ofrece protecci&oacute;n y comodidad para el uso diario. Equipado con cristales <strong data-start=""216"" data-end=""231"">polarizados</strong> y <strong data-start=""234"" data-end=""250"">filtro UV400</strong>, brinda una visi&oacute;n m&aacute;s descansada al reducir reflejos y proteger los ojos del sol. Se destaca su dise&ntilde;o y su <strong data-start=""441"" data-end=""478"">muy buena relaci&oacute;n precio-calidad</strong> dentro de su categor&iacute;a.<br data-start=""502"" data-end=""505"" />Una opci&oacute;n confiable, liviana y pr&aacute;ctica para todos los d&iacute;as.</p>
<p data-start=""116"" data-end=""566"">Pod&eacute;s aprovechar la <strong data-start=""418"" data-end=""435"">promoci&oacute;n 2&times;1</strong> disponible!</p>
<p>&nbsp;</p>
<p data-start=""568"" data-end=""580""><strong data-start=""568"" data-end=""580"">TAMA&Ntilde;O M (MEDIO)</strong></p>
<p data-start=""63"" data-end=""447"">&nbsp;</p>
<p data-start=""582"" data-end=""637""><strong data-start=""582"" data-end=""607"">Accesorios incluidos:</strong> Funda de protecci&oacute;n a rayas</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"2X1, LENTES DE SOL, NOXY, PROMO, URBANO";;;NOXY;SI;;Femenino;Adulto;;Oculto
noxy-ny-2843-3dwik;"NOXY NY-2843";"Todos los productos > Lentes de Sol, Todos los productos > Promociones, Todos los productos > 2X1!";Color;Negro;;;;;0.00;;0.30;25.00;8.00;8.00;1;1201;;SI;NO;"<p data-start=""116"" data-end=""566""><strong data-start=""126"" data-end=""142"">EL lente de Sol NOXY </strong>ofrece protecci&oacute;n y comodidad para el uso diario. Equipado con cristales <strong data-start=""216"" data-end=""231"">polarizados</strong> y <strong data-start=""234"" data-end=""250"">filtro UV400</strong>, brinda una visi&oacute;n m&aacute;s descansada al reducir reflejos y proteger los ojos del sol. Se destaca su dise&ntilde;o y su <strong data-start=""441"" data-end=""478"">muy buena relaci&oacute;n precio-calidad</strong> dentro de su categor&iacute;a.<br data-start=""502"" data-end=""505"" />Una opci&oacute;n confiable, liviana y pr&aacute;ctica para todos los d&iacute;as.</p>
<p data-start=""116"" data-end=""566"">Pod&eacute;s aprovechar la <strong data-start=""418"" data-end=""435"">promoci&oacute;n 2&times;1</strong> disponible!</p>
<p>&nbsp;</p>
<p data-start=""568"" data-end=""580""><strong data-start=""568"" data-end=""580"">TAMA&Ntilde;O L (Grande)</strong></p>
<p data-start=""63"" data-end=""447"">&nbsp;</p>
<p data-start=""582"" data-end=""637""><strong data-start=""582"" data-end=""607"">Accesorios incluidos:</strong> Funda de protecci&oacute;n a rayas</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"2X1, LENTES DE SOL, NOXY, PROMO, URBANO";;;NOXY;SI;;Femenino;Adulto;;Visible
noxy-ny-2843-3dwik;;;Color;Marrón;;;;;0.00;;0.30;25.00;8.00;8.00;1;1198;;;;;;;;;;;Femenino;Adulto;;
noxy-ny-2812-ryi92;"NOXY NY-2812";"Todos los productos > Lentes de Sol, Todos los productos > Promociones, Todos los productos > 2X1!";Color;CAREY;;;;;55,000.00;;0.30;25.00;8.00;8.00;1;1199;;NO;NO;"<p data-start=""116"" data-end=""566""><strong data-start=""126"" data-end=""142"">EL lente de Sol NOXY </strong>ofrece protecci&oacute;n y comodidad para el uso diario. Equipado con cristales <strong data-start=""216"" data-end=""231"">polarizados</strong> y <strong data-start=""234"" data-end=""250"">filtro UV400</strong>, brinda una visi&oacute;n m&aacute;s descansada al reducir reflejos y proteger los ojos del sol. Se destaca su dise&ntilde;o y su <strong data-start=""441"" data-end=""478"">muy buena relaci&oacute;n precio-calidad</strong> dentro de su categor&iacute;a.<br data-start=""502"" data-end=""505"" />Una opci&oacute;n confiable, liviana y pr&aacute;ctica para todos los d&iacute;as.</p>
<p data-start=""116"" data-end=""566"">Pod&eacute;s aprovechar la <strong data-start=""418"" data-end=""435"">promoci&oacute;n 2&times;1</strong> disponible!</p>
<p>&nbsp;</p>
<p data-start=""568"" data-end=""580""><strong data-start=""568"" data-end=""580"">TAMA&Ntilde;O L (Grande)</strong></p>
<p data-start=""63"" data-end=""447"">&nbsp;</p>
<p data-start=""582"" data-end=""637""><strong data-start=""582"" data-end=""607"">Accesorios incluidos:</strong> Funda de protecci&oacute;n a rayas</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"2X1, LENTES DE SOL, NOXY, PROMO, URBANO";;;NOXY;SI;;Femenino;Adulto;;Oculto
noxy-ny-2812-ryi92;;;Color;"NEGRO - CAREY";;;;;55,000.00;;0.30;25.00;8.00;8.00;1;1194;;;;;;;;;;;Femenino;Adulto;;
noxy-ny-2842-9gt3g;"NOXY NY-2842";"Todos los productos > Lentes de Sol, Todos los productos > Promociones, Todos los productos > 2X1!";Color;Negro;;;;;55,000.00;;0.30;25.00;8.00;8.00;1;1191;;NO;NO;"<p data-start=""116"" data-end=""566""><strong data-start=""126"" data-end=""142"">EL lente de Sol NOXY </strong>ofrece protecci&oacute;n y comodidad para el uso diario. Equipado con cristales <strong data-start=""216"" data-end=""231"">polarizados</strong> y <strong data-start=""234"" data-end=""250"">filtro UV400</strong>, brinda una visi&oacute;n m&aacute;s descansada al reducir reflejos y proteger los ojos del sol. Se destaca su dise&ntilde;o y su <strong data-start=""441"" data-end=""478"">muy buena relaci&oacute;n precio-calidad</strong> dentro de su categor&iacute;a.<br data-start=""502"" data-end=""505"" />Una opci&oacute;n confiable, liviana y pr&aacute;ctica para todos los d&iacute;as.</p>
<p data-start=""116"" data-end=""566"">Pod&eacute;s aprovechar la <strong data-start=""418"" data-end=""435"">promoci&oacute;n 2&times;1</strong> disponible!</p>
<p>&nbsp;</p>
<p data-start=""568"" data-end=""580""><strong data-start=""568"" data-end=""580"">TAMA&Ntilde;O L (Grande)</strong></p>
<p data-start=""63"" data-end=""447"">&nbsp;</p>
<p data-start=""582"" data-end=""637""><strong data-start=""582"" data-end=""607"">Accesorios incluidos:</strong> Funda de protecci&oacute;n a rayas</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";"2X1, LENTES DE SOL, NOXY, PROMO, URBANO";;;NOXY;SI;;Femenino;Adulto;;Oculto
noxy-ny-2842-9gt3g;;;Color;Marrón;;;;;55,000.00;;0.30;25.00;8.00;8.00;3;1192;;;;;;;;;;;Femenino;Adulto;;
clip-on-cnxcl008-c2-oy0l2;"CLIP-ON CNXCL008 C2";"Todos los productos > Armazones de Receta, Todos los productos > Promociones, Todos los productos > Clip-On";;;;;;;0.00;;0.30;25.00;8.00;8.00;1;796;;SI;SI;"<p data-start=""85"" data-end=""526"">El Formosa OM5033 C1 combina practicidad, estilo y una excelente <strong data-start=""194"" data-end=""221"">relaci&oacute;n precio-calidad</strong>. Su dise&ntilde;o rectangular cl&aacute;sico en color negro ofrece un look moderno y vers&aacute;til, ideal para todo tipo de rostro. El clip-on solar imantado transforma el armaz&oacute;n de receta en un lente de sol con protecci&oacute;n UV en cuesti&oacute;n de segundos. Un modelo c&oacute;modo y funcional pensado para el uso diario.</p>
<p data-start=""528"" data-end=""552""><strong data-start=""528"" data-end=""550"">TAMA&Ntilde;O M (MEDIANO)</strong></p>
<p data-start=""554"" data-end=""598""><strong data-start=""554"" data-end=""579"">Accesorios incluidos:</strong> estuche / 1 clip</p>";"CLIPON, METAL, UNISEX";;;FORMOSA;SI;;;;;Visible
